ORF	YF_GENE	OF_GENE
YGR194C	XKS1	XKS1
YGR195W	SKI6	SKI6
YGR196C	FYV8	FYV8
YGR197C	SNG1	SNG1
YGR198W	YPP1	YPP1
YGR199W	PMT6	PMT6
YGR200C	ELP2	ELP2
YGR201C	YGR201C	YGR201C
YGR202C	PCT1	PCT1
YGR203W	YCH1	YCH1
YGR204C-A	YGR204C-A	YGR204C-A
YGR204W	ADE3	ADE3
YGR205W	TDA10	TDA10
YGR206W	MVB12	MVB12
YGR207C	CIR1	CIR1
YGR208W	SER2	SER2
YGR209C	TRX2	TRX2
YGR210C	YGR210C	YGR210C
YGR211W	ZPR1	ZPR1
YGR212W	SLI1	SLI1
YGR213C	RTA1	RTA1
YGR214W	RPS0A	RPS0A
YGR215W	RSM27	RSM27
YGR216C	GPI1	GPI1
YGR217W	CCH1	CCH1
YGR218W	CRM1	CRM1
YGR219W	YGR219W	YGR219W
YGR220C	MRPL9	MRPL9
YGR221C	TOS2	TOS2
YGR222W	PET54	PET54
YGR223C	HSV2	HSV2
YGR224W	AZR1	AZR1
YGR225W	AMA1	AMA1
YGR226C	YGR226C	YGR226C
YGR227W	DIE2	DIE2
YGR228W	YGR228W	YGR228W
YGR229C	SMI1	SMI1
YGR230W	BNS1	BNS1
YGR231C	PHB2	PHB2
YGR232W	NAS6	NAS6
YGR233C	PHO81	PHO81
YGR234W	YHB1	YHB1
YGR235C	MIC26	MIC26
YGR236C	SPG1	SPG1
YGR237C	YGR237C	YGR237C
YGR238C	KEL2	KEL2
YGR239C	PEX21	PEX21
YGR240C	PFK1	PFK1
YGR240C-A	YGR240C-A	YGR240C-A
YGR241C	YAP1802	YAP1802
YGR242W	YGR242W	YGR242W
YGR243W	MPC3	MPC3
YGR244C	LSC2	LSC2
YGR245C	SDA1	SDA1
YGR246C	BRF1	BRF1
YGR247W	CPD1	CPD1
YGR248W	SOL4	SOL4
YGR249W	MGA1	MGA1
YGR250C	RIE1	RIE1
YGR251W	NOP19	NOP19
YGR252W	GCN5	GCN5
YGR253C	PUP2	PUP2
YGR254W	ENO1	ENO1
YGR255C	COQ6	COQ6
YGR256W	GND2	GND2
YGR257C	MTM1	MTM1
YGR258C	RAD2	RAD2
YGR259C	YGR259C	YGR259C
YGR260W	TNA1	TNA1
YGR261C	APL6	APL6
YGR262C	BUD32	BUD32
YGR263C	SAY1	SAY1
YGR264C	MES1	MES1
YGR265W	YGR265W	YGR265W
YGR266W	YGR266W	YGR266W
YGR267C	FOL2	FOL2
YGR268C	HUA1	HUA1
YGR269W	YGR269W	YGR269W
YGR270C-A	NA	YGR270C-A
YGR270W	YTA7	YTA7
YGR271C-A	EFG1	EFG1
YGR271W	SLH1	SLH1
YGR273C	YGR273C	YGR273C
YGR274C	TAF1	TAF1
YGR275W	RTT102	RTT102
YGR276C	RNH70	RNH70
YGR277C	CAB4	CAB4
YGR278W	CWC22	CWC22
YGR279C	SCW4	SCW4
YGR280C	PXR1	PXR1
YGR281W	YOR1	YOR1
YGR282C	BGL2	BGL2
YGR283C	UPA1	YGR283C
YGR284C	ERV29	ERV29
YGR285C	ZUO1	ZUO1
YGR286C	BIO2	BIO2
YGR287C	IMA1	IMA1
YGR288W	MAL13	MAL13
YGR289C	MAL11	MAL11
YGR290W	YGR290W	YGR290W
YGR291C	YGR291C	YGR291C
YGR292W	MAL12	MAL12
YGR293C	YGR293C	YGR293C
YGR294W	PAU12	PAU12
YGR295C	COS6	COS6
YGR296C-A	NA	YGR296C-A
YGR296C-B	NA	YGR296C-B
YGR296W	YRF1-3	YRF1-3
YHL001W	RPL14B	RPL14B
YHL002C-A	NA	YHL002C-A
YHL002W	HSE1	HSE1
YHL003C	LAG1	LAG1
YHL004W	MRP4	MRP4
YHL005C	YHL005C	YHL005C
YHL006C	SHU1	SHU1
YHL006W-A	NA	YHL006W-A
YHL007C	STE20	STE20
YHL008C	YHL008C	YHL008C
YHL009C	YAP3	YAP3
YHL010C	ETP1	ETP1
YHL011C	PRS3	PRS3
YHL012W	YHL012W	YHL012W
YHL013C	OTU2	OTU2
YHL014C	YLF2	YLF2
YHL015W	RPS20	RPS20
YHL015W-A	YHL015W-A	YHL015W-A
YHL016C	DUR3	DUR3
YHL017W	YHL017W	YHL017W
YHL018W	MCO14	YHL018W
YHL019C	APM2	APM2
YHL019W-A	NA	YHL019W-A
YHL020C	OPI1	OPI1
YHL021C	AIM17	AIM17
YHL022C	SPO11	SPO11
YHL023C	NPR3	NPR3
YHL024W	RIM4	RIM4
YHL025W	SNF6	SNF6
YHL026C	YHL026C	YHL026C
YHL027W	RIM101	RIM101
YHL028W	WSC4	WSC4
YHL029C	OCA5	OCA5
YHL030W	ECM29	ECM29
YHL030W-A	NA	YHL030W-A
YHL031C	GOS1	GOS1
YHL032C	GUT1	GUT1
YHL033C	RPL8A	RPL8A
YHL034C	SBP1	SBP1
YHL034W-A	NA	YHL034W-A
YHL035C	VMR1	VMR1
YHL036W	MUP3	MUP3
YHL037C	YHL037C	YHL037C
YHL038C	CBP2	CBP2
YHL039W	EFM1	EFM1
YHL040C	ARN1	ARN1
YHL041W	YHL041W	YHL041W
YHL042W	YHL042W	YHL042W
YHL043W	ECM34	ECM34
YHL044W	YHL044W	YHL044W
YHL045W	YHL045W	YHL045W
YHL046C	PAU13	PAU13
YHL046W-A	NA	YHL046W-A
YHL047C	ARN2	ARN2
YHL048C-A	YHL048C-A	YHL048C-A
YHL048W	COS8	COS8
YHL049C	YHL049C	YHL049C
YHL050C	YHL050C	YHL050C
YHL050W-A	NA	YHL050W-A
YHR001W	OSH7	OSH7
YHR001W-A	QCR10	QCR10
YHR002W	LEU5	LEU5
YHR003C	TCD1	TCD1
YHR004C	NEM1	NEM1
YHR005C	GPA1	GPA1
YHR005C-A	TIM10	TIM10
YHR006W	STP2	STP2
YHR007C	ERG11	ERG11
YHR007C-A	YHR007C-A	YHR007C-A
YHR008C	SOD2	SOD2
YHR009C	TDA3	TDA3
YHR010W	RPL27A	RPL27A
YHR011W	DIA4	DIA4
YHR012W	VPS29	VPS29
YHR013C	ARD1	ARD1
YHR014W	SPO13	SPO13
YHR015W	MIP6	MIP6
YHR016C	YSC84	YSC84
YHR017W	YSC83	YSC83
YHR018C	ARG4	ARG4
YHR019C	DED81	DED81
YHR020W	YHR020W	YHR020W
YHR021C	RPS27B	RPS27B
YHR021W-A	ECM12	ECM12
YHR022C	YHR022C	YHR022C
YHR022C-A	YHR022C-A	YHR022C-A
YHR023W	MYO1	MYO1
YHR024C	MAS2	MAS2
YHR025W	THR1	THR1
YHR026W	VMA16	VMA16
YHR027C	RPN1	RPN1
YHR028C	DAP2	DAP2
YHR028W-A	NA	YHR028W-A
YHR029C	YHI9	YHI9
YHR030C	SLT2	SLT2
YHR031C	RRM3	RRM3
YHR032C-A	NA	YHR032C-A
YHR032W	ERC1	ERC1
YHR032W-A	NA	YHR032W-A
YHR033W	YHR033W	YHR033W
YHR034C	PIH1	PIH1
YHR035W	NEL1	NEL1
YHR036W	BRL1	BRL1
YHR037W	PUT2	PUT2
YHR038W	RRF1	RRF1
YHR039C	MSC7	MSC7
YHR039C-A	VMA10	VMA10
YHR040W	BCD1	BCD1
YHR041C	SRB2	SRB2
YHR042W	NCP1	NCP1
YHR043C	DOG2	DOG2
YHR044C	DOG1	DOG1
YHR045W	YHR045W	YHR045W
YHR046C	INM1	INM1
YHR047C	AAP1	AAP1
YHR048W	YHK8	YHK8
YHR049C-A	YHR049C-A	YHR049C-A
YHR049W	FSH1	FSH1
YHR050W	SMF2	SMF2
YHR050W-A	YHR050W-A	YHR050W-A
YHR051W	COX6	COX6
YHR052W	CIC1	CIC1
YHR052W-A	NA	YHR052W-A
YHR053C	CUP1-1	CUP1-1
YHR054C	YHR054C	YHR054C
YHR054W-A	NA	YHR054W-A
YHR055C	CUP1-2	CUP1-2
YHR056C	RSC30	RSC30
YHR056W-A	NA	YHR056W-A
YHR057C	CPR2	CPR2
YHR058C	MED6	MED6
YHR059W	FYV4	FYV4
YHR060W	VMA22	VMA22
YHR061C	GIC1	GIC1
YHR062C	RPP1	RPP1
YHR063C	PAN5	PAN5
YHR063W-A	NA	YHR063W-A
YHR064C	SSZ1	SSZ1
YHR065C	RRP3	RRP3
YHR066W	SSF1	SSF1
YHR067W	HTD2	HTD2
YHR068W	DYS1	DYS1
YHR069C	RRP4	RRP4
YHR069C-A	NA	YHR069C-A
YHR070C-A	NA	YHR070C-A
YHR070W	TRM5	TRM5
YHR071C-A	NA	YHR071C-A
YHR071W	PCL5	PCL5
YHR072W	ERG7	ERG7
YHR072W-A	NOP10	NOP10
YHR073C-B	NA	YHR073C-B
YHR073W	OSH3	OSH3
YHR073W-A	NA	YHR073W-A
YHR074W	QNS1	QNS1
YHR075C	PPE1	PPE1
YHR076W	PTC7	PTC7
YHR077C	NMD2	NMD2
YHR078W	YHR078W	YHR078W
YHR079C	IRE1	IRE1
YHR079C-A	SAE3	SAE3
YHR080C	LAM4	LAM4
YHR081W	LRP1	LRP1
YHR082C	KSP1	KSP1
YHR083W	SAM35	SAM35
YHR084W	STE12	STE12
YHR085W	IPI1	IPI1
YHR086W	NAM8	NAM8
YHR086W-A	YHR086W-A	YHR086W-A
YHR087W	RTC3	RTC3
YHR088W	RPF1	RPF1
YHR089C	GAR1	GAR1
YHR090C	YNG2	YNG2
YHR091C	MSR1	MSR1
YHR092C	HXT4	HXT4
YHR093W	AHT1	AHT1
YHR094C	HXT1	HXT1
YHR095W	YHR095W	YHR095W
YHR096C	HXT5	HXT5
YHR097C	PAL2	YHR097C
YHR098C	SFB3	SFB3
YHR099W	TRA1	TRA1
YHR100C	GEP4	GEP4
YHR101C	BIG1	BIG1
YHR102W	KIC1	KIC1
YHR103W	SBE22	SBE22
YHR104W	GRE3	GRE3
YHR105W	YPT35	YPT35
YHR106W	TRR2	TRR2
YHR107C	CDC12	CDC12
YHR108W	GGA2	GGA2
YHR109W	CTM1	CTM1
YHR110W	ERP5	ERP5
YHR111W	UBA4	UBA4
YHR112C	YHR112C	YHR112C
YHR113W	APE4	APE4
YHR114W	BZZ1	BZZ1
YHR115C	DMA1	DMA1
YHR116W	COX23	COX23
YHR117W	TOM71	TOM71
YHR118C	ORC6	ORC6
YHR119W	SET1	SET1
YHR120W	MSH1	MSH1
YHR121W	LSM12	LSM12
YHR122W	CIA2	CIA2
YHR123W	EPT1	EPT1
YHR124W	NDT80	NDT80
YHR125W	YHR125W	YHR125W
YHR126C	ANS1	ANS1
YHR127W	YHR127W	YHR127W
YHR128W	FUR1	FUR1
YHR129C	ARP1	ARP1
YHR130C	YHR130C	YHR130C
YHR131C	YHR131C	YHR131C
YHR131W-A	NA	YHR131W-A
YHR132C	ECM14	ECM14
YHR132W-A	IGO2	IGO2
YHR133C	NSG1	NSG1
YHR134W	WSS1	WSS1
YHR135C	YCK1	YCK1
YHR136C	SPL2	SPL2
YHR137C-A	NA	YHR137C-A
YHR137W	ARO9	ARO9
YHR138C	YHR138C	YHR138C
YHR139C	SPS100	SPS100
YHR139C-A	YHR139C-A	YHR139C-A
YHR140W	YHR140W	YHR140W
YHR141C	RPL42B	RPL42B
YHR142W	CHS7	CHS7
YHR143W	DSE2	DSE2
YHR143W-A	RPC10	RPC10
YHR144C	DCD1	DCD1
YHR145C	YHR145C	YHR145C
YHR146W	CRP1	CRP1
YHR147C	MRPL6	MRPL6
YHR148W	IMP3	IMP3
YHR149C	SKG6	SKG6
YHR150W	PEX28	PEX28
YHR151C	MTC6	MTC6
YHR152W	SPO12	SPO12
YHR153C	SPO16	SPO16
YHR154W	RTT107	RTT107
YHR155W	LAM1	LAM1
YHR156C	LIN1	LIN1
YHR157W	REC104	REC104
YHR158C	KEL1	KEL1
YHR159W	TDA11	TDA11
YHR160C	PEX18	PEX18
YHR161C	YAP1801	YAP1801
YHR162W	MPC2	MPC2
YHR163W	SOL3	SOL3
YHR164C	DNA2	DNA2
YHR165C	PRP8	PRP8
YHR165W-A	NA	YHR165W-A
YHR166C	CDC23	CDC23
YHR167W	THP2	THP2
YHR168W	MTG2	MTG2
YHR169W	DBP8	DBP8
YHR170W	NMD3	NMD3
YHR171W	ATG7	ATG7
YHR172W	SPC97	SPC97
YHR173C	YHR173C	YHR173C
YHR174W	ENO2	ENO2
YHR175W	CTR2	CTR2
YHR175W-A	YHR175W-A	YHR175W-A
YHR176W	FMO1	FMO1
YHR177W	ROF1	YHR177W
YHR178W	STB5	STB5
YHR179W	OYE2	OYE2
YHR180C-B	NA	YHR180C-B
YHR180W	YHR180W	YHR180W
YHR180W-A	NA	YHR180W-A
YHR181W	SVP26	SVP26
YHR182C-A	NA	YHR182C-A
YHR182W	RGD3	YHR182W
YHR183W	GND1	GND1
YHR184W	SSP1	SSP1
YHR185C	PFS1	PFS1
YHR186C	KOG1	KOG1
YHR187W	IKI1	IKI1
YHR188C	GPI16	GPI16
YHR189W	PTH1	PTH1
YHR190W	ERG9	ERG9
YHR191C	CTF8	CTF8
YHR192W	LNP1	LNP1
YHR193C	EGD2	EGD2
YHR193C-A	NA	YHR193C-A
YHR194W	MDM31	MDM31
YHR195W	NVJ1	NVJ1
YHR196W	UTP9	UTP9
YHR197W	RIX1	RIX1
YHR198C	AIM18	AIM18
YHR199C	AIM46	AIM46
YHR199C-A	NBL1	NBL1
YHR200W	RPN10	RPN10
YHR201C	PPX1	PPX1
YHR202W	SMN1	YHR202W
YHR203C	RPS4B	RPS4B
YHR204W	MNL1	MNL1
YHR205W	SCH9	SCH9
YHR206W	SKN7	SKN7
YHR207C	SET5	SET5
YHR208W	BAT1	BAT1
YHR209W	CRG1	CRG1
YHR210C	YHR210C	YHR210C
YHR211W	FLO5	FLO5
YHR212C	YHR212C	YHR212C
YHR212W-A	YHR212W-A	YHR212W-A
YHR213W	YHR213W	YHR213W
YHR213W-A	YHR213W-A	YHR213W-A
YHR213W-B	YHR213W-B	YHR213W-B
YHR214C-D	YHR214C-D	YHR214C-D
YHR214C-E	YHR214C-E	YHR214C-E
YHR214W	YHR214W	YHR214W
YHR214W-A	YHR214W-A	YHR214W-A
YHR215W	PHO12	PHO12
YHR216W	IMD2	IMD2
YHR217C	YHR217C	YHR217C
YHR218W	YHR218W	YHR218W
YHR218W-A	NA	YHR218W-A
YHR219C-A	NA	YHR219C-A
YHR219W	YHR219W	YHR219W
YIL001W	YIL001W	YIL001W
YIL002C	INP51	INP51
YIL002W-A	CMI7	YIL002W-A
YIL003W	CFD1	CFD1
YIL004C	BET1	BET1
YIL005W	EPS1	EPS1
YIL006W	YIA6	YIA6
YIL007C	NAS2	NAS2
YIL008W	URM1	URM1
YIL009C-A	EST3	EST3
YIL009W	FAA3	FAA3
YIL010W	DOT5	DOT5
YIL011W	TIR3	TIR3
YIL012W	YIL012W	YIL012W
YIL013C	PDR11	PDR11
YIL014C-A	YIL014C-A	YIL014C-A
YIL014W	MNT3	MNT3
YIL015W	BAR1	BAR1
YIL016W	SNL1	SNL1
YIL017C	VID28	VID28
YIL018W	RPL2B	RPL2B
YIL019W	FAF1	FAF1
YIL020C	HIS6	HIS6
YIL020C-A	NA	YIL020C-A
YIL021C-A	NA	YIL021C-A
YIL021W	RPB3	RPB3
YIL022W	TIM44	TIM44
YIL023C	YKE4	YKE4
YIL024C	YIL024C	YIL024C
YIL025C	YIL025C	YIL025C
YIL026C	IRR1	IRR1
YIL027C	EMC5	EMC5
YIL028W	YIL028W	YIL028W
YIL029C	EMA17	YIL029C
YIL029W-A	NA	YIL029W-A
YIL030C	SSM4	SSM4
YIL030W-A	NA	YIL030W-A
YIL031W	ULP2	ULP2
YIL032C	YIL032C	YIL032C
YIL033C	BCY1	BCY1
YIL034C	CAP2	CAP2
YIL035C	CKA1	CKA1
YIL036W	CST6	CST6
YIL037C	PRM2	PRM2
YIL038C	NOT3	NOT3
YIL039W	TED1	TED1
YIL040W	APQ12	APQ12
YIL041W	GVP36	GVP36
YIL042C	PKP1	PKP1
YIL043C	CBR1	CBR1
YIL044C	AGE2	AGE2
YIL045W	PIG2	PIG2
YIL046W	MET30	MET30
YIL046W-A	YIL046W-A	YIL046W-A
YIL047C	SYG1	SYG1
YIL047C-A	NA	YIL047C-A
YIL048W	NEO1	NEO1
YIL049W	DFG10	DFG10
YIL050W	PCL7	PCL7
YIL051C	MMF1	MMF1
YIL052C	RPL34B	RPL34B
YIL053W	GPP1	GPP1
YIL054W	YIL054W	YIL054W
YIL055C	YIL055C	YIL055C
YIL056W	VHR1	VHR1
YIL057C	RGI2	RGI2
YIL058W	YIL058W	YIL058W
YIL059C	YIL059C	YIL059C
YIL060W	YIL060W	YIL060W
YIL061C	SNP1	SNP1
YIL062C	ARC15	ARC15
YIL063C	YRB2	YRB2
YIL064W	EFM4	EFM4
YIL065C	FIS1	FIS1
YIL066C	RNR3	RNR3
YIL066W-A	NA	YIL066W-A
YIL067C	YIL067C	YIL067C
YIL068C	SEC6	SEC6
YIL068W-A	NA	YIL068W-A
YIL069C	RPS24B	RPS24B
YIL070C	MAM33	MAM33
YIL071C	PCI8	PCI8
YIL071W-A	NA	YIL071W-A
YIL072W	HOP1	HOP1
YIL073C	SPO22	SPO22
YIL074C	SER33	SER33
YIL075C	RPN2	RPN2
YIL076W	SEC28	SEC28
YIL077C	RCI37	YIL077C
YIL078W	THS1	THS1
YIL079C	AIR1	AIR1
YIL083C	CAB2	CAB2
YIL084C	SDS3	SDS3
YIL085C	KTR7	KTR7
YIL086C	YIL086C	YIL086C
YIL087C	AIM19	AIM19
YIL088C	AVT7	AVT7
YIL089W	YIL089W	YIL089W
YIL090W	ICE2	ICE2
YIL091C	UTP25	UTP25
YIL092W	YIL092W	YIL092W
YIL093C	RSM25	RSM25
YIL094C	LYS12	LYS12
YIL095W	PRK1	PRK1
YIL096C	BMT5	BMT5
YIL097W	FYV10	FYV10
YIL098C	FMC1	FMC1
YIL099W	SGA1	SGA1
YIL100C-A	NA	YIL100C-A
YIL100W	YIL100W	YIL100W
YIL101C	XBP1	XBP1
YIL102C	YIL102C	YIL102C
YIL102C-A	YIL102C-A	YIL102C-A
YIL103W	DPH1	DPH1
YIL104C	SHQ1	SHQ1
YIL105C	SLM1	SLM1
YIL105W-A	YIL105W-A	YIL105W-A
YIL106W	MOB1	MOB1
YIL107C	PFK26	PFK26
YIL108W	YIL108W	YIL108W
YIL109C	SEC24	SEC24
YIL110W	HPM1	HPM1
YIL111W	COX5B	COX5B
YIL112W	HOS4	HOS4
YIL113W	SDP1	SDP1
YIL114C	POR2	POR2
YIL115C	NUP159	NUP159
YIL115W-A	NA	YIL115W-A
YIL116W	HIS5	HIS5
YIL117C	PRM5	PRM5
YIL118W	RHO3	RHO3
YIL119C	RPI1	RPI1
YIL120W	QDR1	QDR1
YIL121W	QDR2	QDR2
YIL122W	POG1	POG1
YIL123W	SIM1	SIM1
YIL124W	AYR1	AYR1
YIL125W	KGD1	KGD1
YIL126W	STH1	STH1
YIL127C	RRT14	RRT14
YIL128W	MET18	MET18
YIL129C	TAO3	TAO3
YIL130W	ASG1	ASG1
YIL131C	FKH1	FKH1
YIL132C	CSM2	CSM2
YIL133C	RPL16A	RPL16A
YIL134C-A	YIL134C-A	YIL134C-A
YIL134W	FLX1	FLX1
YIL135C	VHS2	VHS2
YIL136W	OM45	OM45
YIL137C	TMA108	TMA108
YIL138C	TPM2	TPM2
YIL139C	REV7	REV7
YIL140W	AXL2	AXL2
YIL141W	YIL141W	YIL141W
YIL142C-A	NA	YIL142C-A
YIL142W	CCT2	CCT2
YIL143C	SSL2	SSL2
YIL144W	NDC80	NDC80
YIL145C	PAN6	PAN6
YIL146C	ATG32	ATG32
YIL147C	SLN1	SLN1
YIL148W	RPL40A	RPL40A
YIL149C	MLP2	MLP2
YIL150C	MCM10	MCM10
YIL151C	ESL1	ESL1
YIL152W	YIL152W	YIL152W
YIL153W	RRD1	RRD1
YIL154C	IMP21	IMP2'
YIL155C	GUT2	GUT2
YIL156W	UBP7	UBP7
YIL156W-A	NA	YIL156W-A
YIL156W-B	MCO8	YIL156W-B
YIL157C	COA1	COA1
YIL158W	AIM20	AIM20
YIL159W	BNR1	BNR1
YIL160C	POT1	POT1
YIL161W	YIL161W	YIL161W
YIL162W	SUC2	SUC2
YIL163C	YIL163C	YIL163C
YIL164C	NIT1	NIT1
YIL165C	YIL165C	YIL165C
YIL166C	SOA1	YIL166C
YIL169C	CSS1	CSS1
YIL171W-A	NA	YIL171W-A
YIL172C	IMA3	IMA3
YIL173W	VTH1	VTH1
YIL176C	PAU14	PAU14
YIL177C	YIL177C	YIL177C
YIL177W-A	NA	YIL177W-A
YIR001C	SGN1	SGN1
YIR002C	MPH1	MPH1
YIR003W	AIM21	AIM21
YIR004W	DJP1	DJP1
YIR005W	IST3	IST3
YIR006C	PAN1	PAN1
YIR007W	EGH1	EGH1
YIR008C	PRI1	PRI1
YIR009W	MSL1	MSL1
YIR010W	DSN1	DSN1
YIR011C	STS1	STS1
YIR012W	SQT1	SQT1
YIR013C	GAT4	GAT4
YIR014W	VLD1	YIR014W
YIR015W	RPR2	RPR2
YIR016W	YIR016W	YIR016W
YIR017C	MET28	MET28
YIR017W-A	NA	YIR017W-A
YIR018C-A	YIR018C-A	YIR018C-A
YIR018W	YAP5	YAP5
YIR019C	FLO11	FLO11
YIR020C	YIR020C	YIR020C
YIR020C-B	NA	YIR020C-B
YIR020W-A	YIR020W-A	YIR020W-A
YIR021W	MRS1	MRS1
YIR021W-A	YIR021W-A	YIR021W-A
YIR022W	SEC11	SEC11
YIR023C-A	NA	YIR023C-A
YIR023W	DAL81	DAL81
YIR024C	INA22	INA22
YIR025W	MND2	MND2
YIR026C	YVH1	YVH1
YIR027C	DAL1	DAL1
YIR028W	DAL4	DAL4
YIR029W	DAL2	DAL2
YIR030C	DCG1	DCG1
YIR030W-A	NA	YIR030W-A
YIR031C	DAL7	DAL7
YIR032C	DAL3	DAL3
YIR033W	MGA2	MGA2
YIR034C	LYS1	LYS1
YIR035C	NRE1	YIR035C
YIR036C	IRC24	IRC24
YIR036W-A	NA	YIR036W-A
YIR037W	HYR1	HYR1
YIR038C	GTT1	GTT1
YIR039C	YPS6	YPS6
YIR040C	YIR040C	YIR040C
YIR041W	PAU15	PAU15
YIR042C	YIR042C	YIR042C
YJL001W	PRE3	PRE3
YJL002C	OST1	OST1
YJL003W	COX16	COX16
YJL004C	SYS1	SYS1
YJL005W	CYR1	CYR1
YJL006C	CTK2	CTK2
YJL007C	YJL007C	YJL007C
YJL008C	CCT8	CCT8
YJL009W	YJL009W	YJL009W
YJL010C	NOP9	NOP9
YJL011C	RPC17	RPC17
YJL012C	VTC4	VTC4
YJL013C	MAD3	MAD3
YJL014W	CCT3	CCT3
YJL015C	YJL015C	YJL015C
YJL016W	TPH3	TPH3
YJL019W	MPS3	MPS3
YJL020C	BBC1	BBC1
YJL020W-A	NA	YJL020W-A
YJL022W	YJL022W	YJL022W
YJL023C	PET130	PET130
YJL024C	APS3	APS3
YJL025W	RRN7	RRN7
YJL026C-A	NA	YJL026C-A
YJL026W	RNR2	RNR2
YJL027C	YJL027C	YJL027C
YJL028W	YJL028W	YJL028W
YJL029C	VPS53	VPS53
YJL030W	MAD2	MAD2
YJL031C	BET4	BET4
YJL032W	YJL032W	YJL032W
YJL033W	HCA4	HCA4
YJL034W	KAR2	KAR2
YJL035C	TAD2	TAD2
YJL036W	SNX4	SNX4
YJL037W	IRC18	IRC18
YJL038C	LOH1	LOH1
YJL039C	NUP192	NUP192
YJL041W	NSP1	NSP1
YJL042W	MHP1	MHP1
YJL043W	YJL043W	YJL043W
YJL044C	GYP6	GYP6
YJL045W	SDH9	YJL045W
YJL046W	AIM22	AIM22
YJL047C	RTT101	RTT101
YJL047C-A	YJL047C-A	YJL047C-A
YJL048C	UBX6	UBX6
YJL049W	CHM7	CHM7
YJL050W	MTR4	MTR4
YJL051W	IRC8	IRC8
YJL052C-A	YJL052C-A	YJL052C-A
YJL052W	TDH1	TDH1
YJL053W	PEP8	PEP8
YJL054W	TIM54	TIM54
YJL055W	LOG1	YJL055W
YJL056C	ZAP1	ZAP1
YJL057C	IKS1	IKS1
YJL058C	BIT61	BIT61
YJL059W	YHC3	YHC3
YJL060W	BNA3	BNA3
YJL061W	NUP82	NUP82
YJL062W	LAS21	LAS21
YJL062W-A	COA3	COA3
YJL063C	MRPL8	MRPL8
YJL064W	YJL064W	YJL064W
YJL065C	DLS1	DLS1
YJL066C	MPM1	MPM1
YJL067W	YJL067W	YJL067W
YJL068C	YJL068C	YJL068C
YJL069C	UTP18	UTP18
YJL070C	YJL070C	YJL070C
YJL071W	ARG2	ARG2
YJL072C	PSF2	PSF2
YJL073W	JEM1	JEM1
YJL074C	SMC3	SMC3
YJL075C	APQ13	APQ13
YJL076W	NET1	NET1
YJL077C	ICS3	ICS3
YJL077W-A	YJL077W-A	YJL077W-A
YJL077W-B	YJL077W-B	YJL077W-B
YJL078C	PRY3	PRY3
YJL079C	PRY1	PRY1
YJL080C	SCP160	SCP160
YJL081C	ARP4	ARP4
YJL082W	IML2	IML2
YJL083W	TAX4	TAX4
YJL084C	ALY2	ALY2
YJL085W	EXO70	EXO70
YJL086C	YJL086C	YJL086C
YJL087C	TRL1	TRL1
YJL088W	ARG3	ARG3
YJL089W	SIP4	SIP4
YJL090C	DPB11	DPB11
YJL091C	GWT1	GWT1
YJL092W	SRS2	SRS2
YJL093C	TOK1	TOK1
YJL094C	KHA1	KHA1
YJL095W	BCK1	BCK1
YJL096W	MRPL49	MRPL49
YJL097W	PHS1	PHS1
YJL098W	SAP185	SAP185
YJL099W	CHS6	CHS6
YJL100W	LSB6	LSB6
YJL101C	GSH1	GSH1
YJL102W	MEF2	MEF2
YJL103C	GSM1	GSM1
YJL104W	PAM16	PAM16
YJL105W	SET4	SET4
YJL106W	IME2	IME2
YJL107C	YJL107C	YJL107C
YJL108C	PRM10	PRM10
YJL109C	UTP10	UTP10
YJL110C	GZF3	GZF3
YJL111W	CCT7	CCT7
YJL112W	MDV1	MDV1
YJL115W	ASF1	ASF1
YJL116C	NCA3	NCA3
YJL117W	PHO86	PHO86
YJL118W	YJL118W	YJL118W
YJL119C	YJL119C	YJL119C
YJL120W	YJL120W	YJL120W
YJL121C	RPE1	RPE1
YJL122W	ALB1	ALB1
YJL123C	MTC1	MTC1
YJL124C	LSM1	LSM1
YJL125C	GCD14	GCD14
YJL126W	NIT2	NIT2
YJL127C	SPT10	SPT10
YJL127C-B	MCO6	YJL127C-B
YJL127W-A	YJL127W-A	YJL127W-A
YJL128C	PBS2	PBS2
YJL129C	TRK1	TRK1
YJL130C	URA2	URA2
YJL131C	AIM23	AIM23
YJL132W	YJL132W	YJL132W
YJL133C-A	DPI8	YJL133C-A
YJL133W	MRS3	MRS3
YJL134W	LCB3	LCB3
YJL135W	YJL135W	YJL135W
YJL136C	RPS21B	RPS21B
YJL136W-A	YJL136W-A	YJL136W-A
YJL137C	GLG2	GLG2
YJL138C	TIF2	TIF2
YJL139C	YUR1	YUR1
YJL140W	RPB4	RPB4
YJL141C	YAK1	YAK1
YJL142C	IRC9	IRC9
YJL143W	TIM17	TIM17
YJL144W	ROQ1	YJL144W
YJL145W	SFH5	SFH5
YJL146W	IDS2	IDS2
YJL147C	SMT1	MRX5
YJL148W	RPA34	RPA34
YJL149W	DAS1	DAS1
YJL150W	YJL150W	YJL150W
YJL151C	SNA3	SNA3
YJL152W	YJL152W	YJL152W
YJL153C	INO1	INO1
YJL154C	VPS35	VPS35
YJL155C	FBP26	FBP26
YJL156C	SSY5	SSY5
YJL156W-A	YJL156W-A	YJL156W-A
YJL157C	FAR1	FAR1
YJL158C	CIS3	CIS3
YJL159W	HSP150	HSP150
YJL160C	PIR5	PIR5
