ID	yeasTSSdb (+/- 100bp)	>10% overlap with predicted UTRs (Nagalakshmi 2008)	chr	db	type	end5	end3	length	strand	gene_id_up	strand_up	up_gene_name	gene_id_down	strand_down	down_gene_name	baseMean_wt	log2FoldChange_wt	TPMs_wt	lfcSE_wt	pvalue_wt	padj_wt	baseMean_kar4	log2FoldChange_kar4	TPMs_kar4	lfcSE_kar4	pvalue_kar4	padj_kar4	Kar4 dependent_kar4	baseMean_ste12	log2FoldChange_ste12	TPMs_ste12	lfcSE_ste12	pvalue_ste12	padj_ste12	Ste12 dependent_ste12	Max(|Log2FC|)_ste12
MSTRG.95	CP_supported		IV	StringTie	transcript	358117	358902	785	-	YDL055C	-	PSA1	tK(UUU)D	+	tK(UUU)D	14.70	-0.34	259.08	0.32	9.52E-02	2.37E-01	10.87	-0.81	228.23	0.44	1.22E-02	3.75E-02		23.00	0.02	271.59	0.19	8.86E-01	9.81E-01		0.805739992
MSTRG.478			XII	StringTie	transcript	1064947	1065236	289	.	NA	NA	NA	YLR462W	+	YLR462W	152.81	-0.22	6834.34	0.15	9.53E-02	2.37E-01	114.74	0.06	5825.17	0.16	6.95E-01	8.02E-01		276.47	0.00	9057.52	0.12	9.93E-01	1.00E+00		0.2205055
MSTRG.364	CP_supported		VIII	StringTie	transcript	529097	529340	243	-	YHR211W	+	FLO5	NA	NA	NA	9.64	0.37	578.64	0.40	9.70E-02	2.40E-01	9.53	0.57	542.14	0.41	6.44E-02	1.49E-01		17.09	0.08	635.29	0.20	4.84E-01	7.76E-01		0.567871689
MSTRG.642	CP_supported		XVI	StringTie	transcript	128255	128507	252	+	YPL224C	-	MMT2	YPL223C	-	GRE1	9.26	-0.38	464.99	0.40	9.74E-02	2.40E-01	8.98	-0.35	506.79	0.39	2.40E-01	3.92E-01		15.14	-0.12	579.72	0.22	2.80E-01	6.00E-01		0.3750167
MSTRG.678	CP_supported	YPR138C_5UTR	XVI	StringTie	transcript	812480	812742	262	-	YPR138C	-	MEP3	YPR139C	-	LOA1	18.24	-0.32	1001.98	0.30	1.05E-01	2.53E-01	15.62	-0.18	759.63	0.33	5.07E-01	6.56E-01		42.76	-0.17	1527.44	0.18	1.52E-01	4.88E-01		0.3179431
MSTRG.198			V	StringTie	transcript	75658	77587	1929	-	YEL042W	+	GDA1	YEL040W	+	UTR2	111.93	0.21	795.49	0.15	1.04E-01	2.53E-01	113.44	0.42	837.40	0.15	3.25E-03	1.20E-02		82.74	0.15	408.02	0.15	1.68E-01	5.14E-01		0.42005821
MSTRG.16			I	StringTie	transcript	211150	215443	4293	-	NA	NA	NA	NA	NA	NA	10.99	0.35	34.56	0.37	1.05E-01	2.53E-01	19.81	0.11	56.18	0.31	6.83E-01	7.95E-01		13.39	0.10	28.87	0.22	3.59E-01	6.60E-01		0.35138717
MSTRG.112	CP_supported		IV	StringTie	transcript	794877	795887	1010	-	YDR169C-A	-	YDR169C-A	YDR170C	-	SEC7	22.46	0.31	297.05	0.28	1.04E-01	2.53E-01	25.60	0.60	347.12	0.28	1.29E-02	3.91E-02		41.14	-0.06	375.57	0.18	5.77E-01	8.18E-01		0.601554127
MSTRG.530	CP_supported		XIV	StringTie	transcript	104302	104703	401	+	YNL284C	-	MRPL10	tT(AGU)N1	+	tT(AGU)N1	12.39	-0.35	422.78	0.36	1.09E-01	2.62E-01	13.28	-0.10	440.42	0.33	7.05E-01	8.07E-01		19.44	-0.22	477.71	0.22	6.52E-02	3.12E-01		0.3450975
MSTRG.382			X	StringTie	transcript	236757	237135	378	-	YJL101C	-	GSH1	YJL100W	+	LSB6	5.40	0.40	212.61	0.51	1.09E-01	2.62E-01	5.52	0.86	190.43	0.59	1.97E-02	5.60E-02		13.09	0.11	357.22	0.22	3.18E-01	6.26E-01		0.86307276
MSTRG.568			XIV	StringTie	transcript	762970	764004	1034	+	YNR069C	-	BSC5	YNR070W	+	PDR18	13.59	-0.33	196.20	0.33	1.11E-01	2.67E-01	11.51	-1.28	138.97	0.49	3.89E-04	1.89E-03	Y	29.72	-0.25	308.89	0.21	4.13E-02	2.36E-01		1.279073735
MSTRG.314		YGR169C_5UTR	VII	StringTie	transcript	836112	836381	269	-	YGR169C	-	PUS6	YGR169C-A	-	LSO2	15.67	-0.32	845.24	0.31	1.13E-01	2.71E-01	26.03	-0.42	1228.53	0.27	7.69E-02	1.71E-01		31.09	-0.22	1156.14	0.21	7.56E-02	3.24E-01		0.421490668
MSTRG.510			XIII	StringTie	transcript	675602	675882	280	-	YMR205C	-	PFK2	YMR206W	+	YMR206W	8.82	0.35	386.79	0.40	1.14E-01	2.71E-01	9.08	-0.05	496.31	0.37	8.48E-01	9.05E-01		17.91	0.12	589.33	0.21	2.78E-01	6.00E-01		0.35231897
MSTRG.76			IV	StringTie	transcript	4175	8308	4133	-	YDL247W-A	+	YDL247W-A	YDL246C	-	SOR2	74.11	0.23	260.53	0.17	1.14E-01	2.71E-01	86.58	0.25	278.47	0.16	1.03E-01	2.12E-01		133.94	0.10	314.89	0.14	3.51E-01	6.54E-01		0.253942335
MSTRG.48	CP_supported	YBR293W_5UTR	II	StringTie	transcript	785518	786947	1429	+	YBR292C	-	YBR292C	YBR293W	+	VBA2	37.03	-0.26	363.63	0.22	1.16E-01	2.71E-01	41.98	-0.30	404.48	0.22	1.38E-01	2.59E-01		53.86	-0.10	359.97	0.16	3.57E-01	6.58E-01		0.303615588
MSTRG.257		YFR020W_3UTR	VI	StringTie	transcript	193494	193834	340	+	YFR020W	+	CSS2	YFR021W	+	ATG18	13.36	-0.33	486.47	0.35	1.16E-01	2.71E-01	10.35	-0.20	402.21	0.36	4.90E-01	6.46E-01		16.47	-0.03	495.17	0.20	7.94E-01	9.56E-01		0.3296503
MSTRG.75			III	StringTie	transcript	308267	310299	2032	-	YCR104W	+	PAU3	YCR106W	+	RDS1	268.34	-0.17	1827.03	0.11	1.16E-01	2.71E-01	205.71	-0.33	1366.85	0.15	1.84E-02	5.34E-02		482.51	0.01	2337.90	0.09	8.50E-01	9.75E-01		0.334742361
MSTRG.477			XII	StringTie	transcript	1061664	1062659	995	+	YLR460C	-	YLR460C	YLR461W	+	PAU4	9.94	0.35	129.55	0.40	1.15E-01	2.71E-01	25.78	2.51	329.38	0.37	1.51E-13	2.82E-12	Y	4.59	-0.02	36.10	0.24	8.26E-01	1.00E+00		2.514373296
MSTRG.100	CP_supported		IV	StringTie	transcript	470703	471523	820	-	YDR011W	+	SNQ2	YDR012W	+	RPL4B	9.93	-0.34	152.80	0.37	1.17E-01	2.73E-01	13.36	-0.19	222.50	0.34	5.01E-01	6.55E-01		23.98	0.02	277.82	0.19	8.55E-01	9.75E-01		0.3380332
MSTRG.196	CP_supported		V	StringTie	transcript	46058	46888	830	-	YEL057C	-	SDD1	YEL056W	+	HAT2	15.84	-0.31	233.15	0.31	1.21E-01	2.79E-01	17.29	-0.14	296.44	0.30	5.80E-01	7.13E-01		67.50	-0.07	802.03	0.16	5.19E-01	7.96E-01		0.3103987
MSTRG.159			IX	StringTie	transcript	337236	338199	963	-	tD(GUC)I2	-	tD(GUC)I2	YIL009W	+	FAA3	24.98	-0.28	370.67	0.25	1.21E-01	2.79E-01	25.54	-0.25	384.99	0.27	2.81E-01	4.34E-01		33.36	-0.06	342.89	0.18	6.05E-01	8.43E-01		0.2803736
MSTRG.684			XVI	StringTie	transcript	935806	938057	2251	-	YPR198W	+	SGE1	YPR199C	-	ARR1	103.18	-0.21	664.78	0.16	1.22E-01	2.81E-01	107.76	-0.40	614.22	0.16	8.14E-03	2.65E-02		152.98	-0.27	677.31	0.14	1.32E-02	1.13E-01		0.398354637
MSTRG.86	CP_supported		IV	StringTie	transcript	132455	132737	282	-	YDL183C	-	YDL183C	YDL182W	+	LYS20	11.32	-0.32	511.07	0.35	1.23E-01	2.81E-01	8.22	-0.47	420.57	0.41	1.23E-01	2.40E-01		35.53	0.17	1076.85	0.19	1.64E-01	5.04E-01		0.470588544
MSTRG.555			XIV	StringTie	transcript	609580	611493	1913	-	YNL013C	-	YNL013C	YNL011C	-	YNL011C	122.38	-0.20	873.40	0.14	1.24E-01	2.82E-01	111.65	-0.16	815.35	0.15	2.88E-01	4.43E-01		189.00	0.01	1011.68	0.12	9.06E-01	9.83E-01		0.1959755
MSTRG.202	CP_supported		V	StringTie	transcript	131201	131484	283	+	tQ(UUG)E2	-	tQ(UUG)E2	YEL012W	+	UBC8	5.69	0.37	223.32	0.49	1.24E-01	2.82E-01	4.34	0.01	201.18	0.47	9.62E-01	9.74E-01		5.88	-0.04	171.42	0.23	6.52E-01	1.00E+00		0.37414077
MSTRG.59	CP_supported		III	StringTie	transcript	113368	114131	763	-	YCL001W-A	+	YCL001W-A	NA	NA	NA	17.77	-0.29	310.30	0.28	1.25E-01	2.84E-01	18.91	-0.46	323.27	0.31	7.67E-02	1.71E-01		25.13	-0.22	322.99	0.21	7.14E-02	3.24E-01		0.459435365
MSTRG.15			I	StringTie	transcript	196544	197556	1012	+	YAR042W	+	SWH1	NA	NA	NA	17.13	-0.30	270.94	0.30	1.28E-01	2.89E-01	20.35	-0.20	291.35	0.29	4.09E-01	5.65E-01		58.12	0.02	544.83	0.15	8.26E-01	9.71E-01		0.2985089
MSTRG.32	CP_supported		II	StringTie	transcript	340989	342199	1210	+	YBR053C	-	YBR053C	YBR054W	+	YRO2	26.65	-0.27	268.32	0.25	1.29E-01	2.91E-01	29.25	-0.40	349.95	0.25	7.75E-02	1.72E-01		41.73	-0.12	309.59	0.18	3.07E-01	6.22E-01		0.397435651
MSTRG.273	CP_supported	YGL187C_5UTR	VII	StringTie	transcript	150526	150653	127	-	YGL187C	-	COX4	YGL186C	-	TPN1	121.82	0.21	14387.06	0.16	1.33E-01	2.99E-01	107.65	-0.06	11661.54	0.16	6.79E-01	7.93E-01		170.80	0.12	12671.72	0.13	2.25E-01	5.62E-01		0.21157176
MSTRG.57	CP_supported		III	StringTie	transcript	29751	30211	460	+	YCL055W	+	KAR4	YCL054W-A	+	RDT1	8.25	-0.33	199.58	0.41	1.37E-01	3.06E-01	14.39	0.45	490.37	0.34	1.07E-01	2.18E-01		6.90	0.02	159.54	0.23	8.46E-01	1.00E+00		0.446736908
MSTRG.674			XVI	StringTie	transcript	681109	682090	981	-	YPR065W	+	ROX1	YPR067W	+	ISA2	38.14	-0.24	513.79	0.21	1.39E-01	3.09E-01	34.30	-0.05	483.38	0.23	7.96E-01	8.75E-01		33.48	-0.11	349.97	0.19	3.36E-01	6.35E-01		0.2447579
MSTRG.126	CP_supported		IV	StringTie	transcript	1080821	1081112	291	+	YDR309C	-	GIC2	YDR310C	-	SUM1	7.00	0.34	277.78	0.45	1.40E-01	3.12E-01	4.42	0.20	241.60	0.50	5.22E-01	6.66E-01		3.51	0.05	95.60	0.25	4.90E-01	1.00E+00		0.34250788
MSTRG.215			V	StringTie	transcript	284385	284742	357	-	YER064C	-	VHR2	YER065C	-	ICL1	9.19	0.32	342.03	0.38	1.41E-01	3.12E-01	5.25	0.39	217.14	0.47	2.17E-01	3.64E-01		7.76	0.08	206.31	0.23	3.75E-01	1.00E+00		0.393848663
MSTRG.1	CP_supported		I	StringTie	transcript	3146	6318	3172	-	YAL067W-A	+	YAL067W-A	YAL067C	-	SEO1	18.96	0.28	86.26	0.29	1.45E-01	3.17E-01	21.02	0.32	96.03	0.30	2.05E-01	3.47E-01		71.56	0.15	216.68	0.16	1.90E-01	5.33E-01		0.322430222
MSTRG.343	CP_supported		VIII	StringTie	transcript	194884	195252	368	-	YHR044C	-	DOG1	YHR045W	+	YHR045W	19.65	-0.27	699.34	0.28	1.46E-01	3.17E-01	15.93	-0.51	639.26	0.34	6.54E-02	1.51E-01		32.95	-0.04	902.14	0.18	7.32E-01	9.09E-01		0.505347582
MSTRG.511			XIII	StringTie	transcript	683642	684386	744	-	YMR207C	-	YMR207C	YMR208W	+	ERG12	38.03	-0.24	667.83	0.22	1.46E-01	3.17E-01	41.88	-0.23	719.69	0.22	2.57E-01	4.08E-01		101.81	0.02	1382.39	0.14	8.27E-01	9.71E-01		0.244378
MSTRG.167			IX	StringTie	transcript	439119	439801	682	-	NA	NA	NA	NA	NA	NA	17.27	-0.28	370.43	0.29	1.45E-01	3.17E-01	12.23	-0.32	245.53	0.36	2.56E-01	4.08E-01		35.86	0.02	521.88	0.18	8.88E-01	9.81E-01		0.320737474
MSTRG.250	CP_supported	YFL031W_3UTR	VI	StringTie	transcript	76223	76563	340	+	YFL031C-A	-	YFL031C-A	YFL030W	+	AGX1	866.64	0.14	34747.53	0.10	1.48E-01	3.22E-01	813.68	0.04	32902.40	0.09	6.38E-01	7.57E-01		1134.70	-0.14	33003.85	0.10	8.68E-02	3.53E-01		0.143759471
MSTRG.172			Mito	StringTie	transcript	31039	31882	843	+	Q0092	+	Q0092	NA	NA	NA	19.64	-0.27	348.46	0.28	1.51E-01	3.27E-01	18.95	-0.13	305.83	0.29	5.88E-01	7.19E-01		53.81	0.16	599.89	0.18	1.72E-01	5.17E-01		0.2713019
MSTRG.644	CP_supported		XVI	StringTie	transcript	132293	132719	426	-	YPL222C-A	-	YPL222C-A	YPL221W	+	FLC1	20.08	-0.27	651.05	0.29	1.56E-01	3.37E-01	20.23	-0.96	547.76	0.35	6.54E-04	2.99E-03	Y	26.84	-0.17	621.87	0.20	1.53E-01	4.88E-01		0.957534169
MSTRG.129			IV	StringTie	transcript	1165456	1166145	689	+	YDR345C	-	HXT3	YDR346C	-	SVF1	18.29	0.27	347.84	0.28	1.57E-01	3.37E-01	15.56	-0.29	318.69	0.33	2.74E-01	4.26E-01		24.17	-0.02	339.60	0.19	8.40E-01	9.73E-01		0.29426926
MSTRG.6	CP_supported		I	StringTie	transcript	30078	30852	774	+	NA	NA	NA	YAL062W	+	GDH3	7.88	-0.31	128.99	0.41	1.59E-01	3.40E-01	9.71	-0.58	168.56	0.41	5.95E-02	1.40E-01		15.67	0.02	187.10	0.20	8.27E-01	9.71E-01		0.58112563
MSTRG.531	CP_supported		XIV	StringTie	transcript	106897	107289	392	+	YNL283C	-	WSC2	YNL282W	+	POP3	5.33	-0.33	172.91	0.48	1.61E-01	3.44E-01	10.44	0.54	320.67	0.39	7.09E-02	1.60E-01		17.12	-0.20	415.52	0.23	8.02E-02	3.34E-01		0.539578853
MSTRG.454			XII	StringTie	transcript	394059	394584	525	+	YLR125W	+	YLR125W	YLR126C	-	YLR126C	18.35	-0.26	484.65	0.27	1.63E-01	3.47E-01	20.64	-0.28	496.56	0.29	2.55E-01	4.08E-01		31.67	-0.01	521.94	0.18	9.07E-01	9.83E-01		0.283693894
MSTRG.409	CP_supported		XI	StringTie	transcript	93858	94433	575	-	YKL186C	-	MTR2	YKL185W	+	ASH1	5.61	0.32	135.39	0.47	1.67E-01	3.54E-01	5.30	0.42	109.22	0.48	1.91E-01	3.31E-01		13.47	0.04	213.58	0.21	6.63E-01	8.74E-01		0.421259518
MSTRG.150	CP_supported		IX	StringTie	transcript	96815	97094	279	-	YIL134C-A	-	YIL134C-A	snR68	+	snR68	8.49	-0.30	510.73	0.38	1.68E-01	3.55E-01	10.55	-0.30	496.48	0.36	2.92E-01	4.47E-01		19.99	0.09	695.37	0.20	4.25E-01	7.31E-01		0.300190753
MSTRG.591	CP_supported		XV	StringTie	transcript	216643	217082	439	-	YOL060C	-	MAM3	YOL059W	+	GPD2	12.70	-0.27	413.10	0.32	1.70E-01	3.58E-01	13.81	-0.72	459.68	0.41	1.91E-02	5.47E-02		33.19	-0.19	663.95	0.20	1.14E-01	4.12E-01		0.721515858
MSTRG.139	CP_supported		IV	StringTie	transcript	1500650	1501407	757	+	YDR532C	-	KRE28	YDR533C	-	HSP31	41.06	0.23	646.84	0.21	1.71E-01	3.59E-01	44.63	0.26	771.56	0.22	1.97E-01	3.36E-01		65.66	0.09	749.41	0.16	3.92E-01	6.97E-01		0.258757812
MSTRG.101			IV	StringTie	transcript	476825	477287	462	+	YDR014W	+	RAD61	YDR014W-A	+	HED1	3.51	-0.33	113.37	0.53	1.75E-01	3.66E-01	3.17	0.11	84.54	0.50	7.20E-01	8.14E-01		7.22	-0.01	134.81	0.23	8.88E-01	1.00E+00		0.3318236
MSTRG.264			VI	StringTie	transcript	266303	268759	2456	+	YFR055W	+	IRC7	YFR057W	+	YFR057W	44.22	0.22	270.80	0.21	1.78E-01	3.72E-01	42.69	0.53	254.03	0.22	8.25E-03	2.68E-02		98.86	0.05	402.84	0.14	6.10E-01	8.46E-01		0.530122964
MSTRG.306			VII	StringTie	transcript	741709	742103	394	.	YGR124W	+	ASN2	YGR125W	+	YGR125W	154.39	-0.18	5530.73	0.16	1.79E-01	3.72E-01	177.57	-0.31	6602.75	0.14	1.84E-02	5.34E-02		332.56	-0.11	8048.77	0.11	2.31E-01	5.65E-01		0.311163879
MSTRG.620			XV	StringTie	transcript	860909	861162	253	-	YOR290C	-	SNF2	YOR291W	+	YPK9	8.53	-0.29	410.84	0.39	1.81E-01	3.74E-01	6.51	-0.65	323.97	0.51	5.62E-02	1.33E-01		24.30	0.09	861.08	0.19	4.36E-01	7.38E-01		0.646119665
MSTRG.9	CP_supported	YAL040C_5UTR	I	StringTie	transcript	65180	68303	3123	-	YAL041W	+	CDC24	YAL039C	-	CYC3	876.48	-0.15	3873.81	0.12	1.81E-01	3.74E-01	668.86	-0.31	3008.82	0.10	2.60E-03	9.84E-03	Y	1690.01	-0.01	5335.89	0.08	8.73E-01	9.81E-01		0.308341657
MSTRG.152	CP_supported		IX	StringTie	transcript	173850	174936	1086	+	YIL102C-A	-	YIL102C-A	tT(AGU)I1	+	tT(AGU)I1	38.08	0.22	489.99	0.21	1.88E-01	3.88E-01	38.53	-0.02	451.97	0.24	9.27E-01	9.59E-01		53.25	0.02	486.81	0.16	8.26E-01	9.71E-01		0.2185267
MSTRG.238			VI	StringTie	transcript	4	1436	1432	-	NA	NA	NA	YFL066C	-	YFL066C	225.77	-0.18	2268.12	0.15	1.90E-01	3.90E-01	201.08	0.09	2051.77	0.26	6.96E-01	8.02E-01		580.44	0.00	3148.95	0.20	9.78E-01	1.00E+00		0.1762277
MSTRG.310	CP_supported		VII	StringTie	transcript	778290	778521	231	+	YGR143W	+	SKN1	tG(UCC)G	+	tG(UCC)G	32.27	-0.23	1901.59	0.23	1.94E-01	3.94E-01	40.11	-0.30	2491.35	0.23	1.51E-01	2.74E-01		52.72	-0.20	2224.73	0.18	9.39E-02	3.74E-01		0.301692672
MSTRG.563	CP_supported		XIV	StringTie	transcript	727875	728327	452	+	NA	NA	NA	YNR055C	-	HOL1	12.70	0.26	380.86	0.31	1.95E-01	3.94E-01	15.16	0.57	456.53	0.34	4.10E-02	1.03E-01		16.82	-0.06	320.10	0.21	5.82E-01	8.19E-01		0.567421404
MSTRG.415			XI	StringTie	transcript	270789	271847	1058	-	YKL091C	-	YKL091C	YKL090W	+	CUE2	140.84	-0.16	1945.04	0.14	1.94E-01	3.94E-01	141.42	0.02	1810.82	0.14	8.68E-01	9.17E-01		188.32	-0.04	1753.88	0.11	6.66E-01	8.74E-01		0.1619879
MSTRG.387	CP_supported		X	StringTie	transcript	415139	415429	290	+	tK(CUU)J	+	tK(CUU)J	tW(CCA)J	-	tW(CCA)J	5.66	-0.30	250.84	0.46	1.94E-01	3.94E-01	7.56	-0.45	277.31	0.46	1.53E-01	2.78E-01		9.80	-0.02	298.47	0.22	8.37E-01	9.72E-01		0.453881481
MSTRG.353			VIII	StringTie	transcript	290034	290503	469	+	YHR093W	+	YHR093W	YHR094C	-	HXT1	4.14	-0.31	102.81	0.51	1.95E-01	3.94E-01	4.16	-0.21	138.80	0.47	5.02E-01	6.55E-01		6.36	0.01	143.12	0.23	9.01E-01	1.00E+00		0.3080766
MSTRG.43	CP_supported		II	StringTie	transcript	549189	549566	377	-	YBR154C	-	RPB5	YBR155W	+	CNS1	8.31	-0.27	322.09	0.37	2.03E-01	4.08E-01	7.25	-1.04	267.96	0.55	5.07E-03	1.79E-02		21.67	0.02	526.41	0.19	8.65E-01	9.81E-01		1.041480999
MSTRG.88			IV	StringTie	transcript	220824	221784	960	.	YDL134C	-	PPH21	YDL133W	+	SRF1	769.84	-0.12	11162.77	0.10	2.04E-01	4.09E-01	912.42	-0.32	13225.89	0.10	7.27E-04	3.28E-03	Y	1223.72	-0.35	11917.31	0.11	3.03E-04	8.76E-03	Y	0.353015825
MSTRG.667	CP_supported		XVI	StringTie	transcript	593414	594081	667	+	YPR016W-A	+	YPR016W-A	YPR018W	+	RLF2	26.86	0.22	541.07	0.24	2.04E-01	4.09E-01	20.77	-0.11	443.03	0.28	6.49E-01	7.64E-01		42.17	0.20	595.90	0.19	9.49E-02	3.75E-01		0.22199836
MSTRG.495	CP_supported		XIII	StringTie	transcript	311637	312081	444	-	YMR018W	+	PEX9	YMR019W	+	STB4	15.65	0.24	543.69	0.29	2.05E-01	4.09E-01	20.14	0.37	600.44	0.29	1.32E-01	2.52E-01		22.02	0.06	507.30	0.20	5.78E-01	8.18E-01		0.374462031
MSTRG.179			Mito	StringTie	transcript	50329	50833	504	+	Q0140	+	VAR1	Q0142	+	Q0142	12.92	-0.25	395.45	0.31	2.09E-01	4.15E-01	13.75	-0.11	380.82	0.33	6.79E-01	7.93E-01		34.82	0.17	628.68	0.19	1.42E-01	4.74E-01		0.2478054
MSTRG.211	CP_supported		V	StringTie	transcript	261539	261781	242	-	YER053C-A	-	YER053C-A	YER054C	-	GIP2	7.66	-0.27	456.75	0.39	2.10E-01	4.16E-01	5.33	-0.48	286.67	0.51	1.47E-01	2.70E-01		15.87	0.02	680.16	0.21	8.87E-01	9.81E-01		0.477950238
MSTRG.308			VII	StringTie	transcript	765936	767040	1104	-	YGR139W	+	YGR139W	YGR140W	+	CBF2	35.72	0.21	450.72	0.21	2.12E-01	4.17E-01	33.89	0.33	413.25	0.24	1.28E-01	2.48E-01		42.76	-0.10	358.12	0.17	4.02E-01	7.07E-01		0.331900275
MSTRG.280	CP_supported		VII	StringTie	transcript	197595	197981	386	-	YGL163C	-	RAD54	YGL162W	+	SUT1	12.51	0.25	484.76	0.32	2.12E-01	4.17E-01	16.40	-0.04	587.33	0.30	8.67E-01	9.17E-01		14.33	-0.05	353.84	0.21	6.45E-01	8.72E-01		0.24675105
MSTRG.502	CP_supported		XIII	StringTie	transcript	500987	502938	1951	+	snR24	-	snR24	NA	NA	NA	85.10	-0.17	621.16	0.16	2.14E-01	4.19E-01	85.10	-0.41	658.61	0.18	1.42E-02	4.24E-02		121.32	0.01	605.53	0.13	9.39E-01	9.92E-01		0.411880136
MSTRG.500	CP_supported		XIII	StringTie	transcript	464984	465610	626	+	YMR099C	-	YMR099C	YMR100W	+	MUB1	9.08	-0.25	176.27	0.35	2.16E-01	4.23E-01	11.33	-0.26	258.65	0.36	3.50E-01	5.08E-01		13.74	-0.28	196.77	0.26	1.92E-02	1.49E-01		0.27575071
MSTRG.289			VII	StringTie	transcript	433064	435125	2061	+	YGL035C	-	MIG1	YGL033W	+	HOP2	129.29	0.16	876.75	0.15	2.19E-01	4.27E-01	148.49	0.33	1004.55	0.14	1.28E-02	3.91E-02		191.32	0.35	873.73	0.13	1.11E-03	2.17E-02		0.350608173
MSTRG.429	CP_supported		XI	StringTie	transcript	619001	619331	330	+	YKR094C	-	RPL40B	YKR095W	+	MLP1	48.54	-0.19	2129.16	0.19	2.20E-01	4.28E-01	40.23	-0.78	1699.39	0.23	2.27E-04	1.18E-03	Y	60.97	0.09	1773.27	0.17	4.42E-01	7.38E-01		0.776944024
MSTRG.461	CP_supported		XII	StringTie	transcript	490898	491779	881	+	YLR162W-A	+	RRT15	YLR163C	-	MAS1	54.50	-0.18	840.51	0.18	2.25E-01	4.36E-01	63.34	-0.26	1022.10	0.19	1.45E-01	2.68E-01		79.20	-0.14	876.95	0.15	2.06E-01	5.48E-01		0.258970743
MSTRG.416	CP_supported		XI	StringTie	transcript	303225	304820	1595	+	tW(CCA)K	+	tW(CCA)K	YKL071W	+	YKL071W	70.18	0.17	605.62	0.17	2.31E-01	4.46E-01	65.49	0.23	572.43	0.18	1.85E-01	3.22E-01		88.85	-0.18	530.63	0.16	1.23E-01	4.29E-01		0.230058826
MSTRG.507	CP_supported		XIII	StringTie	transcript	592437	592854	417	+	YMR165C	-	PAH1	YMR166C	-	MME1	28.87	-0.20	980.89	0.23	2.31E-01	4.46E-01	39.45	0.55	1399.48	0.24	1.10E-02	3.45E-02		8.15	-0.23	186.65	0.28	2.63E-02	1.00E+00		0.54530811
MSTRG.569	CP_supported	YNR070W_3UTR	XIV	StringTie	transcript	764430	770275	5845	+	NA	NA	NA	YNR071C	-	YNR071C	91.21	0.16	228.25	0.16	2.32E-01	4.46E-01	105.81	0.03	263.54	0.16	8.33E-01	9.00E-01		95.61	-0.14	157.48	0.15	2.03E-01	5.48E-01		0.16363228
MSTRG.137	CP_supported		IV	StringTie	transcript	1483712	1485567	1855	+	YDR521W	+	YDR521W	NA	NA	NA	106.54	-0.16	816.34	0.15	2.34E-01	4.48E-01	93.14	-0.22	700.90	0.17	1.64E-01	2.93E-01		205.41	0.12	1071.98	0.12	2.12E-01	5.49E-01		0.222772346
MSTRG.632			XV	StringTie	transcript	1024807	1025225	418	+	YOR365C	-	YOR365C	YOR366W	+	YOR366W	17.15	0.22	583.63	0.28	2.35E-01	4.49E-01	22.48	-0.27	798.73	0.28	2.63E-01	4.16E-01		47.15	0.12	935.78	0.17	3.08E-01	6.22E-01		0.270722994
MSTRG.573			XIV	StringTie	transcript	779266	779748	482	+	YNR074C	-	AIF1	YNR075W	+	COS10	60.03	0.26	909.81	0.45	2.37E-01	4.50E-01	36.10	-0.31	1098.42	0.25	1.61E-01	2.90E-01		77.62	0.34	1481.39	0.18	7.81E-03	7.93E-02		0.338820602
MSTRG.525			XIII	StringTie	transcript	880756	881013	257	-	YMR305C	-	SCW10	YMR306W	+	FKS3	7.01	-0.25	376.45	0.39	2.41E-01	4.56E-01	8.08	0.59	377.24	0.45	6.56E-02	1.51E-01		24.26	0.31	829.89	0.24	1.55E-02	1.29E-01		0.58777852
MSTRG.53			III	StringTie	transcript	5729	7641	1912	+	NA	NA	NA	NA	NA	NA	3.72	0.27	26.00	0.48	2.46E-01	4.65E-01	4.38	0.35	32.10	0.49	2.73E-01	4.26E-01		5.12	0.01	19.96	0.24	8.98E-01	1.00E+00		0.351130021
MSTRG.71			III	StringTie	transcript	298500	299679	1179	+	YCR098C	-	GIT1	YCR099C	-	YCR099C	39.36	0.19	472.61	0.21	2.47E-01	4.65E-01	35.19	-0.48	391.44	0.24	2.68E-02	7.17E-02		57.52	0.09	484.71	0.16	4.27E-01	7.32E-01		0.477357408
MSTRG.221	CP_supported		V	StringTie	transcript	353738	354057	319	+	YER096W	+	SHC1	tE(UUC)E2	+	tE(UUC)E2	4.62	0.26	196.92	0.45	2.48E-01	4.66E-01	6.92	0.45	276.47	0.44	1.54E-01	2.79E-01		7.14	0.18	187.28	0.26	5.69E-02	1.00E+00		0.446430571
MSTRG.359	CP_supported		VIII	StringTie	transcript	466132	466516	384	+	YHR180W	+	YHR180W	YHR180W-A	+	YHR180W-A	9.99	0.23	442.23	0.35	2.52E-01	4.71E-01	9.76	0.44	372.40	0.39	1.37E-01	2.58E-01		19.79	0.12	500.39	0.20	2.84E-01	6.00E-01		0.441832634
MSTRG.475	CP_supported		XII	StringTie	transcript	1001830	1002149	319	-	YLR431C	-	ATG23	YLR432W	+	IMD3	6.97	0.24	278.39	0.38	2.52E-01	4.71E-01	6.34	-0.16	290.43	0.41	5.97E-01	7.27E-01		9.26	-0.11	263.50	0.23	2.46E-01	1.00E+00		0.24042757
